Table 3.7ESI. Investment in Private Fixed Assets by Industry
Table 3.7ESI. Investment in Private Fixed Assets by Industry
"Last Revised on: September 26, 2025"
Line,,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
62,Finance and insurance,122.5,122.7,140.4,146.6,156.8,169.7,145.4,114.4,123.4,134.5,152.7,165.4,182.0,205.7,218.3,220.9,241.8,277.7,262.8
63,"    Federal Reserve banks",0.6,0.6,0.8,0.5,0.8,0.9,0.6,0.7,0.6,0.5,0.7,0.5,0.6,0.7,0.7,0.8,0.7,0.8,0.9
64,"    Credit intermediation and related activities",81.4,78.2,91.9,100.6,108.3,110.7,91.1,56.2,74.0,83.5,98.9,106.1,120.1,134.8,141.4,138.1,154.1,180.8,147.8
65,"        Depository credit intermediation",26.6,28.4,32.2,31.1,37.2,34.9,36.0,31.7,26.8,26.5,28.9,27.1,29.2,39.1,43.7,49.5,58.2,81.8,71.1
66,"        Other intermediation",1.9,2.9,3.1,3.9,3.3,3.5,3.3,3.4,3.4,3.1,4.1,3.7,6.0,7.3,11.1,12.1,13.3,16.0,16.2
67,"        Nondepository credit intermediation",52.9,46.9,56.5,65.6,67.8,72.3,51.8,21.2,43.7,53.9,65.8,75.3,84.8,88.5,86.6,76.6,82.7,83.0,60.5
68,"    Securities, commodity contracts, and investments",13.6,12.4,14.1,13.8,16.9,23.4,20.5,25.3,20.6,19.8,17.4,19.1,20.7,23.3,26.9,30.9,33.7,38.3,44.5
69,"    Insurance carriers and related activities",25.7,30.2,30.3,28.5,28.4,30.9,31.5,31.3,27.4,29.9,34.6,39.3,40.2,46.4,48.2,49.8,52.7,57.1,68.7
70,"        Insurance carriers",20.9,23.9,24.3,23.3,23.2,25.3,26.4,27.0,23.1,25.4,28.6,34.8,33.8,40.7,42.5,44.5,46.2,49.4,59.7
71,"        Insurance agencies and brokers and related services",4.8,6.3,5.9,5.3,5.2,5.6,5.1,4.4,4.3,4.5,6.0,4.5,6.4,5.7,5.7,5.3,6.5,7.8,9.0
72,"    Funds, trusts, and other financial vehicles",1.2,1.3,3.3,3.0,2.4,3.8,1.7,0.9,0.8,0.8,1.1,0.4,0.4,0.6,1.0,1.2,0.6,0.7,0.8
73,Real estate and rental and leasing,636.9,710.4,841.6,958.8,965.0,821.1,631.9,463.9,462.3,471.5,549.1,632.5,699.4,797.4,869.7,944.5,988.2,1000.6,1065.9
74,"    Real estate",596.1,663.7,791.6,896.1,886.4,755.9,582.2,434.0,413.0,409.9,471.2,557.4,615.2,702.0,781.9,857.9,893.6,900.9,1010.3
75,"    Rental and leasing services and lessors of intangible assets 3",40.9,46.7,50.0,62.7,78.6,65.1,49.6,29.9,49.2,61.6,77.9,75.1,84.2,95.4,87.8,86.6,94.5,99.7,55.6
76,"Professional, scientific, and technical services",85.0,90.4,92.8,106.5,107.6,114.0,121.7,117.4,118.2,116.0,124.5,125.8,119.7,133.5,136.9,149.1,169.8,191.8,193.7
77,"    Legal services",5.7,5.7,6.2,6.7,6.0,6.4,7.2,6.2,5.0,4.7,5.8,6.4,5.3,6.0,5.8,7.0,6.1,6.5,6.5
78,"    Computer systems design and related services",20.3,20.5,25.0,24.8,28.6,28.1,29.2,32.4,28.5,27.7,26.2,28.2,26.3,31.1,33.7,31.8,41.3,47.2,48.7
79,"    Miscellaneous professional, scientific, and technical services 4",59.0,64.2,61.6,75.0,73.0,79.4,85.2,78.8,84.6,83.6,92.5,91.2,88.2,96.4,97.4,110.3,122.4,138.1,138.5
80,Management of companies and enterprises 5,20.8,19.5,18.1,17.6,17.3,23.8,30.4,30.9,28.7,33.6,37.9,34.3,32.9,31.5,34.7,36.4,36.7,38.4,36.0
81,Administrative and waste management services,24.7,28.3,30.8,31.7,35.3,33.9,30.8,35.6,36.0,39.5,41.1,45.9,48.8,50.8,56.7,51.8,57.3,64.5,62.1
82,"    Administrative and support services",21.4,24.5,26.3,26.8,29.0,28.4,26.3,31.5,31.2,33.4,36.2,40.2,42.6,44.2,49.0,43.9,48.9,54.5,54.0
